bydel_raw,ar,befolkning,bydel
Bydel Gamle Oslo,2001,33260,gamle oslo
Bydel Gamle Oslo,2003,34140,gamle oslo
Bydel Gamle Oslo,2005,35431,gamle oslo
Bydel Gamle Oslo,2007,37717,gamle oslo
Bydel Gamle Oslo,2009,41452,gamle oslo
Bydel Gamle Oslo,2011,43770,gamle oslo
Bydel Gamle Oslo,2013,46290,gamle oslo
Bydel Gamle Oslo,2015,49853,gamle oslo
Bydel Gamle Oslo,2017,53241,gamle oslo
Bydel Gamle Oslo,2019,55683,gamle oslo
Bydel Gamle Oslo,2021,59875,gamle oslo
Bydel Gamle Oslo,2023,61756,gamle oslo
Bydel Gamle Oslo,2025,64554,gamle oslo
Bydel Grünerløkka,2001,36019,grünerløkka
Bydel Grünerløkka,2003,36153,grünerløkka
Bydel Grünerløkka,2005,37774,grünerløkka
Bydel Grünerløkka,2007,40405,grünerløkka
Bydel Grünerløkka,2009,43960,grünerløkka
Bydel Grünerløkka,2011,47255,grünerløkka
Bydel Grünerløkka,2013,50506,grünerløkka
Bydel Grünerløkka,2015,54701,grünerløkka
Bydel Grünerløkka,2017,57567,grünerløkka
Bydel Grünerløkka,2019,60844,grünerløkka
Bydel Grünerløkka,2021,63455,grünerløkka
Bydel Grünerløkka,2023,64270,grünerløkka
Bydel Grünerløkka,2025,66404,grünerløkka
Bydel Sagene,2001,27642,sagene
Bydel Sagene,2003,28734,sagene
Bydel Sagene,2005,29654,sagene
Bydel Sagene,2007,31428,sagene
Bydel Sagene,2009,33631,sagene
Bydel Sagene,2011,35115,sagene
Bydel Sagene,2013,37053,sagene
Bydel Sagene,2015,39918,sagene
Bydel Sagene,2017,42442,sagene
Bydel Sagene,2019,43801,sagene
Bydel Sagene,2021,45674,sagene
Bydel Sagene,2023,46984,sagene
Bydel Sagene,2025,47801,sagene
Bydel St. Hanshaugen,2001,25801,st. hanshaugen
Bydel St. Hanshaugen,2003,26423,st. hanshaugen
Bydel St. Hanshaugen,2005,27619,st. hanshaugen
Bydel St. Hanshaugen,2007,29082,st. hanshaugen
Bydel St. Hanshaugen,2009,31550,st. hanshaugen
Bydel St. Hanshaugen,2011,33137,st. hanshaugen
Bydel St. Hanshaugen,2013,34982,st. hanshaugen
Bydel St. Hanshaugen,2015,36218,st. hanshaugen
Bydel St. Hanshaugen,2017,37849,st. hanshaugen
Bydel St. Hanshaugen,2019,38400,st. hanshaugen
Bydel St. Hanshaugen,2021,38864,st. hanshaugen
Bydel St. Hanshaugen,2023,39487,st. hanshaugen
Bydel St. Hanshaugen,2025,39840,st. hanshaugen
Bydel Frogner,2001,44647,frogner
Bydel Frogner,2003,45170,frogner
Bydel Frogner,2005,45639,frogner
Bydel Frogner,2007,46768,frogner
Bydel Frogner,2009,49058,frogner
Bydel Frogner,2011,51120,frogner
Bydel Frogner,2013,53573,frogner
Bydel Frogner,2015,55965,frogner
Bydel Frogner,2017,57551,frogner
Bydel Frogner,2019,58897,frogner
Bydel Frogner,2021,59015,frogner
Bydel Frogner,2023,60163,frogner
Bydel Frogner,2025,60533,frogner
Bydel Ullern,2001,26571,ullern
Bydel Ullern,2003,26692,ullern
Bydel Ullern,2005,27179,ullern
Bydel Ullern,2007,28331,ullern
Bydel Ullern,2009,29839,ullern
Bydel Ullern,2011,30744,ullern
Bydel Ullern,2013,31443,ullern
Bydel Ullern,2015,32124,ullern
Bydel Ullern,2017,33257,ullern
Bydel Ullern,2019,33760,ullern
Bydel Ullern,2021,34892,ullern
Bydel Ullern,2023,35198,ullern
Bydel Ullern,2025,35668,ullern
Bydel Vestre Aker,2001,40031,vestre aker
Bydel Vestre Aker,2003,40102,vestre aker
Bydel Vestre Aker,2005,40587,vestre aker
Bydel Vestre Aker,2007,41302,vestre aker
Bydel Vestre Aker,2009,42756,vestre aker
Bydel Vestre Aker,2011,44320,vestre aker
Bydel Vestre Aker,2013,45715,vestre aker
Bydel Vestre Aker,2015,47024,vestre aker
Bydel Vestre Aker,2017,48229,vestre aker
Bydel Vestre Aker,2019,49153,vestre aker
Bydel Vestre Aker,2021,50560,vestre aker
Bydel Vestre Aker,2023,51487,vestre aker
Bydel Vestre Aker,2025,52254,vestre aker
Bydel Nordre Aker,2001,38628,nordre aker
Bydel Nordre Aker,2003,39955,nordre aker
Bydel Nordre Aker,2005,41060,nordre aker
Bydel Nordre Aker,2007,42692,nordre aker
Bydel Nordre Aker,2009,45024,nordre aker
Bydel Nordre Aker,2011,47433,nordre aker
Bydel Nordre Aker,2013,48413,nordre aker
Bydel Nordre Aker,2015,49337,nordre aker
Bydel Nordre Aker,2017,50224,nordre aker
Bydel Nordre Aker,2019,51558,nordre aker
Bydel Nordre Aker,2021,52632,nordre aker
Bydel Nordre Aker,2023,53697,nordre aker
Bydel Nordre Aker,2025,55100,nordre aker
Bydel Bjerke,2001,23037,bjerke
Bydel Bjerke,2003,23859,bjerke
Bydel Bjerke,2005,24448,bjerke
Bydel Bjerke,2007,25530,bjerke
Bydel Bjerke,2009,26863,bjerke
Bydel Bjerke,2011,28226,bjerke
Bydel Bjerke,2013,29617,bjerke
Bydel Bjerke,2015,30502,bjerke
Bydel Bjerke,2017,31510,bjerke
Bydel Bjerke,2019,32500,bjerke
Bydel Bjerke,2021,34003,bjerke
Bydel Bjerke,2023,36335,bjerke
Bydel Bjerke,2025,37053,bjerke
Bydel Grorud,2001,24027,grorud
Bydel Grorud,2003,24450,grorud
Bydel Grorud,2005,24729,grorud
Bydel Grorud,2007,25359,grorud
Bydel Grorud,2009,26020,grorud
Bydel Grorud,2011,26291,grorud
Bydel Grorud,2013,26888,grorud
Bydel Grorud,2015,27283,grorud
Bydel Grorud,2017,27566,grorud
Bydel Grorud,2019,27583,grorud
Bydel Grorud,2021,27456,grorud
Bydel Grorud,2023,27773,grorud
Bydel Grorud,2025,28228,grorud
Bydel Stovner,2001,27273,stovner
Bydel Stovner,2003,27885,stovner
Bydel Stovner,2005,28445,stovner
Bydel Stovner,2007,28936,stovner
Bydel Stovner,2009,29651,stovner
Bydel Stovner,2011,30178,stovner
Bydel Stovner,2013,30752,stovner
Bydel Stovner,2015,31669,stovner
Bydel Stovner,2017,32527,stovner
Bydel Stovner,2019,32909,stovner
Bydel Stovner,2021,33279,stovner
Bydel Stovner,2023,33755,stovner
Bydel Stovner,2025,34577,stovner
Bydel Alna,2001,42950,alna
Bydel Alna,2003,43322,alna
Bydel Alna,2005,44151,alna
Bydel Alna,2007,44820,alna
Bydel Alna,2009,46029,alna
Bydel Alna,2011,47025,alna
Bydel Alna,2013,48062,alna
Bydel Alna,2015,48770,alna
Bydel Alna,2017,49282,alna
Bydel Alna,2019,49457,alna
Bydel Alna,2021,49576,alna
Bydel Alna,2023,49759,alna
Bydel Alna,2025,50671,alna
Bydel Østensjø,2001,41839,østensjø
Bydel Østensjø,2003,42307,østensjø
Bydel Østensjø,2005,42681,østensjø
Bydel Østensjø,2007,44036,østensjø
Bydel Østensjø,2009,45042,østensjø
Bydel Østensjø,2011,46244,østensjø
Bydel Østensjø,2013,47806,østensjø
Bydel Østensjø,2015,49133,østensjø
Bydel Østensjø,2017,49973,østensjø
Bydel Østensjø,2019,50427,østensjø
Bydel Østensjø,2021,50793,østensjø
Bydel Østensjø,2023,51340,østensjø
Bydel Østensjø,2025,52211,østensjø
Bydel Nordstrand,2001,42189,nordstrand
Bydel Nordstrand,2003,42204,nordstrand
Bydel Nordstrand,2005,43297,nordstrand
Bydel Nordstrand,2007,44423,nordstrand
Bydel Nordstrand,2009,45710,nordstrand
Bydel Nordstrand,2011,46888,nordstrand
Bydel Nordstrand,2013,48347,nordstrand
Bydel Nordstrand,2015,49428,nordstrand
Bydel Nordstrand,2017,50645,nordstrand
Bydel Nordstrand,2019,51882,nordstrand
Bydel Nordstrand,2021,52581,nordstrand
Bydel Nordstrand,2023,53151,nordstrand
Bydel Nordstrand,2025,54883,nordstrand
Bydel Søndre Nordstrand,2001,31752,søndre nordstrand
Bydel Søndre Nordstrand,2003,32828,søndre nordstrand
Bydel Søndre Nordstrand,2005,33501,søndre nordstrand
Bydel Søndre Nordstrand,2007,34444,søndre nordstrand
Bydel Søndre Nordstrand,2009,35258,søndre nordstrand
Bydel Søndre Nordstrand,2011,35843,søndre nordstrand
Bydel Søndre Nordstrand,2013,36659,søndre nordstrand
Bydel Søndre Nordstrand,2015,37913,søndre nordstrand
Bydel Søndre Nordstrand,2017,38672,søndre nordstrand
Bydel Søndre Nordstrand,2019,38803,søndre nordstrand
Bydel Søndre Nordstrand,2021,39098,søndre nordstrand
Bydel Søndre Nordstrand,2023,39127,søndre nordstrand
Bydel Søndre Nordstrand,2025,39297,søndre nordstrand
Oslo i alt,2001,508726,oslo i alt
Oslo i alt,2003,517401,oslo i alt
Oslo i alt,2005,529846,oslo i alt
Oslo i alt,2007,548617,oslo i alt
Oslo i alt,2009,575475,oslo i alt
Oslo i alt,2011,599230,oslo i alt
Oslo i alt,2013,623966,oslo i alt
Oslo i alt,2015,647676,oslo i alt
Oslo i alt,2017,666759,oslo i alt
Oslo i alt,2019,681071,oslo i alt
Oslo i alt,2021,697010,oslo i alt
Oslo i alt,2023,709037,oslo i alt
Oslo i alt,2025,724290,oslo i alt
