ar,bydel,indre_ytre,ost_vest,n_kandidater_nom,n_kandidater_put
1987,Nordstrand,ytre vest,vestkant,51,4
1987,Søndre Nordstrand,ytre øst,østkant,30,2
1987,NA,indre vest,vestkant,135,14
1987,NA,indre øst,østkant,92,6
1987,NA,ytre vest,vestkant,222,24
1987,NA,ytre øst,østkant,164,16
1987,NA,NA,NA,14,0
1989,Nordstrand,ytre vest,vestkant,8,3
1989,Søndre Nordstrand,ytre øst,østkant,3,0
1989,NA,indre vest,vestkant,26,7
1989,NA,indre øst,østkant,8,1
1989,NA,ytre vest,vestkant,49,11
1989,NA,ytre øst,østkant,27,4
1989,NA,NA,NA,5,1
1991,Alna,ytre øst,østkant,10,4
1991,Bjerke,ytre øst,østkant,4,0
1991,Frogner,indre vest,vestkant,2,2
1991,Gamle Oslo,indre øst,østkant,5,2
1991,Grorud,ytre øst,østkant,4,2
1991,Grünerløkka,indre øst,østkant,3,2
1991,Nordre Aker,ytre vest,vestkant,7,2
1991,Nordstrand,ytre vest,vestkant,53,13
1991,Sagene,indre øst,østkant,4,2
1991,St. Hanshaugen,indre vest,vestkant,5,4
1991,Stovner,ytre øst,østkant,7,2
1991,Søndre Nordstrand,ytre øst,østkant,26,4
1991,Ullern,ytre vest,vestkant,1,0
1991,Vestre Aker,ytre vest,vestkant,9,2
1991,Østensjø,ytre øst,østkant,5,0
1991,NA,indre vest,vestkant,81,13
1991,NA,indre øst,østkant,57,8
1991,NA,ytre vest,vestkant,149,25
1991,NA,ytre øst,østkant,86,10
1991,NA,NA,NA,70,4
1993,Alna,ytre øst,østkant,6,0
1993,Bjerke,ytre øst,østkant,6,1
1993,Frogner,indre vest,vestkant,26,7
1993,Gamle Oslo,indre øst,østkant,10,1
1993,Grorud,ytre øst,østkant,4,1
1993,Grünerløkka,indre øst,østkant,19,3
1993,Marka,NA,NA,1,0
1993,Nordre Aker,ytre vest,vestkant,8,2
1993,Nordstrand,ytre vest,vestkant,13,2
1993,Sagene,indre øst,østkant,5,0
1993,St. Hanshaugen,indre vest,vestkant,7,3
1993,Stovner,ytre øst,østkant,5,1
1993,Søndre Nordstrand,ytre øst,østkant,4,0
1993,Ullern,ytre vest,vestkant,13,5
1993,Vestre Aker,ytre vest,vestkant,17,3
1993,Østensjø,ytre øst,østkant,13,2
1993,NA,NA,NA,4,1
1995,Alna,ytre øst,østkant,50,7
1995,Bjerke,ytre øst,østkant,21,0
1995,Frogner,indre vest,vestkant,61,6
1995,Gamle Oslo,indre øst,østkant,35,5
1995,Grorud,ytre øst,østkant,21,2
1995,Grünerløkka,indre øst,østkant,44,6
1995,Marka,NA,NA,2,0
1995,Nordre Aker,ytre vest,vestkant,47,4
1995,Nordstrand,ytre vest,vestkant,51,8
1995,Sagene,indre øst,østkant,34,4
1995,St. Hanshaugen,indre vest,vestkant,34,4
1995,Stovner,ytre øst,østkant,25,4
1995,Søndre Nordstrand,ytre øst,østkant,29,3
1995,Ullern,ytre vest,vestkant,29,4
1995,Vestre Aker,ytre vest,vestkant,54,13
1995,Østensjø,ytre øst,østkant,46,2
1995,NA,NA,NA,4,2
1997,Alna,ytre øst,østkant,6,0
1997,Bjerke,ytre øst,østkant,3,1
1997,Frogner,indre vest,vestkant,17,5
1997,Gamle Oslo,indre øst,østkant,12,5
1997,Grorud,ytre øst,østkant,6,0
1997,Grünerløkka,indre øst,østkant,18,6
1997,Nordre Aker,ytre vest,vestkant,9,1
1997,Nordstrand,ytre vest,vestkant,9,2
1997,Sagene,indre øst,østkant,8,2
1997,St. Hanshaugen,indre vest,vestkant,11,1
1997,Stovner,ytre øst,østkant,9,0
1997,Søndre Nordstrand,ytre øst,østkant,5,2
1997,Ullern,ytre vest,vestkant,9,4
1997,Vestre Aker,ytre vest,vestkant,12,1
1997,Østensjø,ytre øst,østkant,17,2
1997,NA,NA,NA,5,1
1999,Alna,ytre øst,østkant,46,10
1999,Bjerke,ytre øst,østkant,19,2
1999,Frogner,indre vest,vestkant,64,8
1999,Gamle Oslo,indre øst,østkant,52,8
1999,Grorud,ytre øst,østkant,25,3
1999,Grünerløkka,indre øst,østkant,50,4
1999,Marka,NA,NA,2,0
1999,Nordre Aker,ytre vest,vestkant,48,2
1999,Nordstrand,ytre vest,vestkant,33,6
1999,Sagene,indre øst,østkant,45,12
1999,St. Hanshaugen,indre vest,vestkant,39,6
1999,Stovner,ytre øst,østkant,22,0
1999,Søndre Nordstrand,ytre øst,østkant,32,4
1999,Ullern,ytre vest,vestkant,27,2
1999,Vestre Aker,ytre vest,vestkant,40,5
1999,Østensjø,ytre øst,østkant,43,3
1999,NA,NA,NA,1,0
2001,Alna,ytre øst,østkant,10,1
2001,Bjerke,ytre øst,østkant,4,1
2001,Frogner,indre vest,vestkant,21,4
2001,Gamle Oslo,indre øst,østkant,15,3
2001,Grorud,ytre øst,østkant,5,1
2001,Grünerløkka,indre øst,østkant,16,5
2001,Nordre Aker,ytre vest,vestkant,11,2
2001,Nordstrand,ytre vest,vestkant,11,2
2001,Sagene,indre øst,østkant,10,2
2001,St. Hanshaugen,indre vest,vestkant,8,2
2001,Stovner,ytre øst,østkant,7,0
2001,Søndre Nordstrand,ytre øst,østkant,5,1
2001,Ullern,ytre vest,vestkant,11,3
2001,Vestre Aker,ytre vest,vestkant,9,1
2001,Østensjø,ytre øst,østkant,13,1
2001,NA,NA,NA,11,4
2003,NA,NA,NA,366,73
2005,Alna,ytre øst,østkant,14,3
2005,Bjerke,ytre øst,østkant,5,1
2005,Frogner,indre vest,vestkant,22,4
2005,Gamle Oslo,indre øst,østkant,16,6
2005,Grorud,ytre øst,østkant,5,0
2005,Grünerløkka,indre øst,østkant,13,4
2005,Nordre Aker,ytre vest,vestkant,11,2
2005,Nordstrand,ytre vest,vestkant,8,1
2005,Sagene,indre øst,østkant,14,4
2005,St. Hanshaugen,indre vest,vestkant,18,1
2005,Stovner,ytre øst,østkant,8,0
2005,Søndre Nordstrand,ytre øst,østkant,6,1
2005,Ullern,ytre vest,vestkant,8,1
2005,Vestre Aker,ytre vest,vestkant,14,1
2005,Østensjø,ytre øst,østkant,9,2
2005,NA,NA,NA,6,1
2007,Alna,ytre øst,østkant,28,7
2007,Bjerke,ytre øst,østkant,11,2
2007,Frogner,indre vest,vestkant,44,8
2007,Gamle Oslo,indre øst,østkant,61,11
2007,Grorud,ytre øst,østkant,20,3
2007,Grünerløkka,indre øst,østkant,36,2
2007,Nordre Aker,ytre vest,vestkant,34,5
2007,Nordstrand,ytre vest,vestkant,27,6
2007,Sagene,indre øst,østkant,29,3
2007,St. Hanshaugen,indre vest,vestkant,41,8
2007,Stovner,ytre øst,østkant,24,1
2007,Søndre Nordstrand,ytre øst,østkant,30,6
2007,Ullern,ytre vest,vestkant,21,5
2007,Vestre Aker,ytre vest,vestkant,33,2
2007,Østensjø,ytre øst,østkant,26,6
2007,NA,NA,NA,1,0
2009,Alna,ytre øst,østkant,11,3
2009,Bjerke,ytre øst,østkant,7,0
2009,Frogner,indre vest,vestkant,22,6
2009,Gamle Oslo,indre øst,østkant,21,6
2009,Grorud,ytre øst,østkant,7,0
2009,Grünerløkka,indre øst,østkant,16,3
2009,Nordre Aker,ytre vest,vestkant,14,0
2009,Nordstrand,ytre vest,vestkant,18,1
2009,Sagene,indre øst,østkant,11,4
2009,St. Hanshaugen,indre vest,vestkant,10,2
2009,Stovner,ytre øst,østkant,9,1
2009,Søndre Nordstrand,ytre øst,østkant,14,1
2009,Ullern,ytre vest,vestkant,13,2
2009,Vestre Aker,ytre vest,vestkant,17,3
2009,Østensjø,ytre øst,østkant,11,1
2009,NA,NA,NA,5,1
2011,Alna,ytre øst,østkant,27,5
2011,Bjerke,ytre øst,østkant,24,2
2011,Frogner,indre vest,vestkant,56,11
2011,Gamle Oslo,indre øst,østkant,60,7
2011,Grorud,ytre øst,østkant,23,3
2011,Grünerløkka,indre øst,østkant,45,5
2011,Nordre Aker,ytre vest,vestkant,38,2
2011,Nordstrand,ytre vest,vestkant,28,3
2011,Sagene,indre øst,østkant,36,5
2011,St. Hanshaugen,indre vest,vestkant,49,9
2011,Stovner,ytre øst,østkant,18,3
2011,Søndre Nordstrand,ytre øst,østkant,33,5
2011,Ullern,ytre vest,vestkant,28,7
2011,Vestre Aker,ytre vest,vestkant,36,2
2011,Østensjø,ytre øst,østkant,37,4
2011,NA,NA,NA,4,1
2013,Alna,ytre øst,østkant,12,3
2013,Bjerke,ytre øst,østkant,9,1
2013,Frogner,indre vest,vestkant,22,6
2013,Gamle Oslo,indre øst,østkant,22,4
2013,Grorud,ytre øst,østkant,6,1
2013,Grünerløkka,indre øst,østkant,20,5
2013,Nordre Aker,ytre vest,vestkant,10,1
2013,Nordstrand,ytre vest,vestkant,16,5
2013,Sagene,indre øst,østkant,18,2
2013,St. Hanshaugen,indre vest,vestkant,17,2
2013,Stovner,ytre øst,østkant,10,0
2013,Søndre Nordstrand,ytre øst,østkant,10,1
2013,Ullern,ytre vest,vestkant,9,0
2013,Vestre Aker,ytre vest,vestkant,18,2
2013,Østensjø,ytre øst,østkant,16,0
2013,NA,NA,NA,5,1
2015,Alna,ytre øst,østkant,34,7
2015,Bjerke,ytre øst,østkant,22,1
2015,Frogner,indre vest,vestkant,48,6
2015,Gamle Oslo,indre øst,østkant,62,10
2015,Grorud,ytre øst,østkant,22,2
2015,Grünerløkka,indre øst,østkant,52,6
2015,Nordre Aker,ytre vest,vestkant,30,3
2015,Nordstrand,ytre vest,vestkant,36,6
2015,Sagene,indre øst,østkant,31,3
2015,St. Hanshaugen,indre vest,vestkant,39,8
2015,Stovner,ytre øst,østkant,21,1
2015,Søndre Nordstrand,ytre øst,østkant,29,3
2015,Ullern,ytre vest,vestkant,24,5
2015,Vestre Aker,ytre vest,vestkant,37,8
2015,Østensjø,ytre øst,østkant,35,8
2017,Alna,ytre øst,østkant,10,1
2017,Bjerke,ytre øst,østkant,6,2
2017,Frogner,indre vest,vestkant,16,4
2017,Gamle Oslo,indre øst,østkant,32,5
2017,Grorud,ytre øst,østkant,5,1
2017,Grünerløkka,indre øst,østkant,26,4
2017,Nordre Aker,ytre vest,vestkant,7,0
2017,Nordstrand,ytre vest,vestkant,8,4
2017,Sagene,indre øst,østkant,18,1
2017,St. Hanshaugen,indre vest,vestkant,17,1
2017,Stovner,ytre øst,østkant,11,0
2017,Søndre Nordstrand,ytre øst,østkant,13,2
2017,Ullern,ytre vest,vestkant,10,3
2017,Vestre Aker,ytre vest,vestkant,15,6
2017,Østensjø,ytre øst,østkant,19,0
2017,NA,NA,NA,6,2
2019,Alna,ytre øst,østkant,28,4
2019,Bjerke,ytre øst,østkant,25,1
2019,Frogner,indre vest,vestkant,39,6
2019,Gamle Oslo,indre øst,østkant,73,10
2019,Grorud,ytre øst,østkant,22,4
2019,Grünerløkka,indre øst,østkant,59,8
2019,Nordre Aker,ytre vest,vestkant,37,3
2019,Nordstrand,ytre vest,vestkant,39,5
2019,Sagene,indre øst,østkant,33,5
2019,St. Hanshaugen,indre vest,vestkant,39,6
2019,Stovner,ytre øst,østkant,22,2
2019,Søndre Nordstrand,ytre øst,østkant,32,4
2019,Ullern,ytre vest,vestkant,26,4
2019,Vestre Aker,ytre vest,vestkant,29,4
2019,Østensjø,ytre øst,østkant,42,11
2019,NA,NA,NA,2,0
2021,Alna,ytre øst,østkant,18,2
2021,Bjerke,ytre øst,østkant,8,1
2021,Frogner,indre vest,vestkant,23,3
2021,Gamle Oslo,indre øst,østkant,31,4
2021,Grorud,ytre øst,østkant,8,1
2021,Grünerløkka,indre øst,østkant,19,6
2021,Nordre Aker,ytre vest,vestkant,9,0
2021,Nordstrand,ytre vest,vestkant,14,4
2021,Sagene,indre øst,østkant,11,1
2021,St. Hanshaugen,indre vest,vestkant,20,3
2021,Stovner,ytre øst,østkant,9,1
2021,Søndre Nordstrand,ytre øst,østkant,16,3
2021,Ullern,ytre vest,vestkant,10,0
2021,Vestre Aker,ytre vest,vestkant,12,3
2021,Østensjø,ytre øst,østkant,12,2
2021,NA,NA,NA,7,2
2023,Alna,ytre øst,østkant,27,4
2023,Bjerke,ytre øst,østkant,19,1
2023,Frogner,indre vest,vestkant,37,3
2023,Gamle Oslo,indre øst,østkant,62,13
2023,Grorud,ytre øst,østkant,30,3
2023,Grünerløkka,indre øst,østkant,58,9
2023,Nordre Aker,ytre vest,vestkant,34,3
2023,Nordstrand,ytre vest,vestkant,39,4
2023,Sagene,indre øst,østkant,33,9
2023,St. Hanshaugen,indre vest,vestkant,43,7
2023,Stovner,ytre øst,østkant,22,2
2023,Søndre Nordstrand,ytre øst,østkant,29,4
2023,Ullern,ytre vest,vestkant,27,0
2023,Vestre Aker,ytre vest,vestkant,29,4
2023,Østensjø,ytre øst,østkant,33,7
2025,Alna,ytre øst,østkant,18,1
2025,Bjerke,ytre øst,østkant,9,1
2025,Frogner,indre vest,vestkant,20,3
2025,Gamle Oslo,indre øst,østkant,32,8
2025,Grorud,ytre øst,østkant,12,0
2025,Grünerløkka,indre øst,østkant,19,7
2025,Nordre Aker,ytre vest,vestkant,11,3
2025,Nordstrand,ytre vest,vestkant,13,2
2025,Sagene,indre øst,østkant,11,0
2025,St. Hanshaugen,indre vest,vestkant,15,1
2025,Stovner,ytre øst,østkant,9,1
2025,Søndre Nordstrand,ytre øst,østkant,14,2
2025,Ullern,ytre vest,vestkant,13,0
2025,Vestre Aker,ytre vest,vestkant,15,3
2025,Østensjø,ytre øst,østkant,14,5
2025,NA,NA,NA,2,0
